datetime,open,high,low,close,volume
2021-04-16,1201.6372462560596,1206.78709867639,1185.4393307483979,1191.733642578125,10879878
2021-04-19,1179.629323034113,1214.5779995455803,1172.8948505559376,1199.4805908203125,12508028
2021-04-20,1213.9616035180388,1213.9616035180388,1181.7419044237488,1189.6207275390625,8560766
2021-04-22,1193.3183691890542,1201.46133294354,1184.1630154755971,1189.40087890625,6622446
2021-04-23,1182.2701684621502,1187.0239195967097,1171.7063248124512,1174.1712646484375,7316262
2021-04-26,1172.8067320518805,1189.576876928249,1162.9031285723656,1182.75439453125,7088606
2021-04-27,1184.911137700744,1191.073379873036,1179.7612853775233,1187.1119384765625,3636115
2021-04-28,1195.4749961110342,1196.7954765927475,1183.6786823155342,1193.71435546875,4879234
2021-04-29,1204.2780911797347,1205.1584114218251,1189.6647966532266,1194.0223388671875,5412357
2021-04-30,1185.1752051566957,1209.4720227612527,1184.8230555616503,1192.26171875,8354677
2021-05-03,1180.3334575384226,1198.1158839558777,1177.8685178052642,1190.237060546875,4560337
2021-05-04,1191.953585551371,1192.7898467813673,1165.6319893117732,1170.2977294921875,4887060
2021-05-05,1180.5976794456374,1183.0626195761258,1168.8894824782858,1180.9498291015625,3939788
2021-05-06,1184.0307481639024,1201.3730142790157,1177.340335688776,1198.64404296875,4810090
2021-05-07,1201.90132974289,1208.7238119609947,1187.1119059502223,1190.67724609375,4991435
2021-05-10,1188.300512330176,1190.9855326292056,1175.271834427564,1179.2332763671875,7195348
2021-05-11,1176.900072424771,1180.5093636776037,1166.5122512961696,1171.3980712890625,6420988
2021-05-12,1170.8261418863624,1170.8261418863624,1157.1811755711456,1168.1851806640625,5241898
2021-05-14,1168.0530646731775,1168.0530646731775,1154.364147358403,1158.853759765625,4824609
2021-05-17,1162.2868369308226,1175.183442268053,1162.2868369308226,1170.2977294921875,5017129
2021-05-18,1177.86875364389,1183.67884707998,1170.3860298726097,1179.62939453125,5620150
2021-05-19,1181.3898829001496,1194.9907890147208,1173.6870800123877,1176.98828125,4435878
2021-05-20,1187.0238321383868,1187.6400133214966,1175.227519439831,1179.012939453125,4490092
2021-05-21,1186.2315569737161,1195.0347596228717,1185.2191671768692,1192.393798828125,4969733
2021-05-24,1194.286553380612,1199.8765657788765,1184.1188109576708,1186.7158203125,4225371
2021-05-25,1195.4749115290554,1204.2781141176345,1192.3497316257221,1198.64404296875,4099340
2021-05-26,1204.1902075545224,1232.4484688115047,1199.0403550877556,1230.027587890625,6850024
2021-05-27,1236.1457809007707,1246.753684003248,1225.1417766288973,1234.42919921875,15365391
2021-05-28,1241.0312603115333,1244.7726207345331,1229.0148694607674,1236.893798828125,4261312
2021-05-31,1247.0823823745798,1247.0823823745798,1230.6207169632848,1240.186279296875,4429904
2021-06-01,1245.747646371303,1246.6374661187112,1226.7500164882556,1234.35791015625,4791325
2021-06-02,1228.6187219765782,1238.584660557052,1214.6040597487086,1226.7501220703125,9272276
2021-06-03,1235.158699888379,1244.8577563114168,1225.3262574072241,1236.5379638671875,5115645
2021-06-04,1240.364321328493,1242.9893550263232,1225.8603231227744,1232.9788818359375,4194328
2021-06-07,1237.7391987342248,1238.6290184313739,1225.5487123315113,1236.5379638671875,5154576
2021-06-08,1242.1884714890496,1265.1013319051262,1241.7880960173904,1257.2708740234375,7360630
2021-06-09,1257.6713811300513,1267.9932695298262,1249.8409231050714,1259.362060546875,5394317
2021-06-10,1267.1034939893893,1271.5525933362621,1262.6543946425165,1267.3704833984375,3496575
2021-06-11,1272.5314505902854,1291.6625789412817,1271.9530459160198,1287.48046875,6140828
2021-06-14,1308.9250691394936,1314.2639885241551,1293.3086864911218,1300.73876953125,7132294
