datetime,open,high,low,close,volume
2021-04-16,2838.5398030645506,2854.3631900125724,2797.7507136681297,2808.782958984375,3224657
2021-04-19,2785.7943979695974,2803.375934088055,2755.993780096156,2779.465087890625,2679106
2021-04-20,2835.02346298085,2835.331225793192,2748.302598557501,2764.3017578125,3141893
2021-04-22,2767.3345341010545,2767.3345341010545,2729.753990475635,2741.66552734375,1988980
2021-04-23,2729.533899862066,2741.8409770273056,2717.270819467524,2733.48974609375,1615309
2021-04-26,2726.9406430412923,2771.7295698556877,2714.6335659788188,2725.841796875,2490260
2021-04-27,2730.4130419734793,2756.8733443576716,2727.7758110894097,2753.26904296875,1471417
2021-04-28,2769.0484739187477,2769.9715476659917,2735.6875456479106,2746.324462890625,1639037
2021-04-29,2765.2245045336585,2775.5536585645473,2729.9734334404593,2738.54443359375,1621395
2021-04-30,2724.2589356846884,2753.312466128327,2654.811870205795,2668.5693359375,3072305
2021-05-03,2659.119675274267,2685.5799762724573,2640.7470535916405,2669.756591796875,1545831
2021-05-04,2692.4370856948617,2716.3479372348656,2667.9987021060897,2680.965087890625,1990777
2021-05-05,2698.766406463981,2724.6111845742857,2683.2945653222314,2721.358642578125,1939289
2021-05-06,2729.9733926378744,2755.0270850191914,2702.2824694795772,2735.203857421875,1791671
2021-05-07,2754.148052135079,2777.751353813853,2735.5116639367457,2754.06005859375,1912540
2021-05-10,2765.5322604784997,2781.5754158169793,2747.115640150612,2765.13671875,2137153
2021-05-11,2747.1155582763954,2749.8407827575666,2717.358716701784,2745.005859375,2415625
2021-05-12,2742.7205374319688,2742.7205374319688,2699.294214770002,2714.238525390625,1978558
2021-05-14,2723.8197883357184,2723.8197883357184,2672.393789427331,2682.503173828125,2043935
2021-05-17,2685.580002093259,2703.337313029576,2668.8775405417787,2698.54638671875,2890462
2021-05-18,2725.1383427951523,2746.2361880296953,2705.7986513301544,2715.292724609375,2098538
2021-05-19,2711.073339463518,2740.9619560464494,2696.217024715244,2709.315185546875,1986041
2021-05-20,2696.217607820034,2715.293539017439,2683.0314505934716,2689.97607421875,2329027
2021-05-21,2690.8550664588743,2714.765921218193,2685.668597294127,2707.9970703125,1685566
2021-05-24,2708.875732421875,2729.5340415933547,2700.5245010546814,2708.875732421875,1652260
2021-05-25,2731.4014013703236,2763.4238143068287,2722.6560562425266,2750.835693359375,1841613
2021-05-26,2756.1362259082634,2795.888190705017,2741.8255617150744,2790.146240234375,1923753
2021-05-27,2793.193674959177,2842.4861513917554,2793.06125468533,2809.138671875,5959785
2021-05-28,2817.530802754791,2825.0395068850357,2769.960867380018,2776.98388671875,1763701
2021-05-31,2782.6374019909617,2800.6142092520568,2763.733221463764,2790.72021484375,1652799
2021-06-01,2799.0681193626156,2800.2605487714864,2766.7364386967765,2785.287353515625,1377441
2021-06-02,2783.388282396119,2790.9851945829346,2751.7191332311404,2764.48388671875,2240078
2021-06-03,2786.656916039065,2786.656916039065,2758.477060767355,2774.907958984375,1281706
2021-06-04,2763.203510188867,2788.689025250581,2760.5533789450797,2777.11669921875,1836060
2021-06-07,2778.2213421031297,2818.3707934046397,2768.1509281160716,2811.96630859375,2559821
2021-06-08,2825.0400344405252,2854.1914794488234,2815.4995183950705,2826.939208984375,2574057
2021-06-09,2828.573009280281,2844.473794466741,2814.615610260748,2827.027099609375,1710925
2021-06-10,2835.6402099785423,2848.0074881529035,2820.622800766818,2841.647216796875,1874324
2021-06-11,2837.0092963972816,2923.0943373291366,2836.523395939516,2891.99951171875,3452954
2021-06-14,2896.593304286982,2922.8295591519113,2888.952179184316,2894.25244140625,1847360
2021-06-15,2913.3778137810323,2913.3778137810323,2872.3449886763165,2882.23876953125,1304985
2021-06-16,2881.6637408883203,2910.461697119566,2873.624925196123,2892.485107421875,1635552
2021-06-17,2884.6675274167474,2946.9898164726833,2879.80895402805,2930.823974609375,2273413
2021-06-18,2960.1079111317467,2966.3799741161924,2893.059682915584,2912.759033203125,3380431
2021-06-21,2884.22590768231,2902.7768246995624,2872.4769504377414,2891.38134765625,1130569
2021-06-22,2918.6776002896086,2939.03948321946,2901.893437333948,2916.2041015625,1708688
2021-06-23,2940.762524016195,2940.762524016195,2876.629256840642,2881.046142578125,1467104
2021-06-24,2901.0099814260343,2988.4643018161614,2896.151408071027,2980.16064453125,4155204
2021-06-25,2981.618210624291,3003.17252309465,2959.312941438819,2986.52099609375,2722861
2021-06-28,2995.973044219031,2995.973044219031,2944.2954906035766,2947.608154296875,1355238
2021-06-29,2952.2455334730284,2973.711634794395,2938.5531918306488,2951.229736328125,1497322
2021-06-30,2955.779682158569,2987.5812567424623,2949.1543541202577,2955.558837890625,1693146
2021-07-01,2966.380164836385,2969.913673073236,2943.7216295348694,2951.804443359375,990310
2021-07-02,2942.528517456409,2950.2138535187687,2910.9035806196966,2937.625732421875,1682274
2021-07-05,2952.2462313685637,2980.514298215899,2916.911147809395,2933.6953125,1972858
2021-07-06,2926.628238859527,2939.878894936464,2876.3641697416374,2881.841064453125,2159420
2021-07-07,2893.059592841762,2899.8615524149545,2863.554888146933,2893.015380859375,2640710
2021-07-08,2913.377277397096,2913.377277397096,2854.985972804783,2878.48388671875,2485811
2021-07-09,2870.974778742677,2899.2428381026043,2827.689312847787,2834.00537109375,6365067
2021-07-12,2857.7248389739293,2858.608216049346,2816.5153846730195,2820.71142578125,1892226
2021-07-13,2839.1738738783592,2839.1738738783592,2804.72216850149,2815.80859375,1809339
2021-07-14,2815.322587718182,2846.240783692496,2813.555833662507,2839.65966796875,2044279
2021-07-15,2857.409560647077,2861.1721056543,2827.663236016785,2835.586669921875,2232968
2021-07-16,2844.483839286267,2850.548262591818,2825.892441643873,2828.371337890625,1256526
2021-07-19,2815.268820699469,2832.7978962070624,2811.72760205708,2819.34130859375,1597058
2021-07-20,2819.3416893105386,2846.2548681714516,2794.1545954042767,2838.110107421875,1811945
2021-07-22,2824.1225693914685,2855.063931743701,2824.1225693914685,2847.450439453125,2859334
2021-07-23,2859.534453094165,2869.759766579906,2838.8624999266235,2844.3515625,1776193
2021-07-26,2832.9753500089523,2854.443991333239,2824.8748975730673,2830.806396484375,1259611
2021-07-27,2832.9753493862218,2841.828397353054,2798.581171579533,2817.880859375,1121367
2021-07-28,2822.3520448513914,2836.9152673506533,2773.129005543344,2831.028076171875,1660654
2021-07-29,2833.1971321116425,2855.506773355142,2824.3883911930243,2829.257568359375,1731997
2021-07-30,2849.7964459346185,2853.7803179466428,2799.644010283248,2804.158935546875,2999943
2021-08-02,2815.2697066171863,2855.0198119311576,2803.760742407745,2850.150634765625,2608669
2021-08-03,2858.6492426950676,2912.652836316746,2849.751886091919,2908.1376953125,3804735
2021-08-04,2921.505836757805,2926.109378484922,2887.1559673281517,2898.443603515625,2929598
2021-08-05,2899.3727092417034,2934.784895003434,2888.306401191163,2907.296142578125,2534521
2021-08-06,2897.2045221954145,2942.7534149481066,2890.5204271376556,2930.18212890625,2292362
2021-08-09,2942.6646174826997,2954.26219713046,2930.3589668869713,2941.602294921875,1510489
2021-08-10,2935.3169160413063,2965.6827001982383,2935.3169160413063,2951.517822265625,2040777
2021-08-11,2965.770796905761,2974.6238440607035,2945.4974053764813,2960.635986328125,1929707
2021-08-12,2944.5239565560437,2981.706760577497,2944.5239565560437,2967.320556640625,1310205
2021-08-13,2975.288336631401,3080.86094219364,2972.4110958089495,3066.164794921875,4363584
2021-08-16,3063.154243914832,3093.5645466358237,3042.3495835876647,3074.618896484375,2083489
2021-08-17,3082.7203734861305,3152.393828029611,3065.8109629209002,3145.53271484375,4336019
2021-08-18,3163.946961523481,3182.671073455571,3130.969354434129,3152.17236328125,2631309
2021-08-20,3103.87910584242,3164.965146430876,3098.5672762260324,3151.242919921875,2836148
2021-08-23,3169.391592203125,3251.7249492072847,3153.367486803747,3220.2080078125,3744176
2021-08-24,3237.5595959017187,3246.722586873967,3182.1394299538442,3198.783203125,2511141
2021-08-25,3195.9508680170043,3273.6363773434564,3193.339261643497,3239.330810546875,2123263
2021-08-26,3240.2160812526786,3264.650584058669,3229.5038050202993,3250.70703125,1902533
2021-08-27,3245.5278656262144,3301.7447285469084,3232.336908656288,3293.467041015625,3944728
2021-08-30,3288.90719648561,3311.3497586964454,3264.64993242064,3276.778564453125,2033114
2021-08-31,3283.9495746993503,3367.7881130904075,3278.682054309323,3352.162353515625,3207480
2021-09-01,3360.6172841404705,3378.943051708718,3281.8251507662603,3288.86328125,2643336
2021-09-02,3305.727811471704,3416.5236102881754,3295.1041548735093,3396.69287109375,3403717
2021-09-03,3386.2910073224075,3414.5321452155067,3368.1865666025374,3401.385498046875,1746812
2021-09-06,3408.1578475277897,3432.857981147022,3376.5525093752026,3410.194091796875,1723693
2021-09-07,3420.8178679796692,3426.0853884978774,3371.4621236370535,3378.234619140625,1585039
2021-09-08,3373.0114584992302,3377.4379827229823,3325.2049968827055,3341.273193359375,4147175
2021-09-09,3355.039702736924,3371.8604946659234,3333.172716457,3356.544677734375,1441148
2021-09-13,3334.9436458552505,3410.5485998446184,3334.9436458552505,3404.307373046875,1691473
2021-09-14,3408.379630212844,3449.590617426561,3386.291315708096,3440.206298828125,1991188
2021-09-15,3436.84212717988,3523.5133876208283,3422.588632297016,3500.982421875,2461369
2021-09-16,3479.2481928696525,3525.062720600188,3445.6952242336656,3455.610595703125,2946666
2021-09-17,3470.3952133297325,3492.5278358637233,3368.585149673376,3388.814453125,6477148
2021-09-20,3372.1257278564103,3427.0146213001217,3371.107713869043,3384.962646484375,2002008
2021-09-21,3415.506211825673,3427.5021361240147,3383.325293125468,3419.888427734375,1568129
2021-09-22,3419.489874783857,3449.900181873406,3410.5925180954796,3419.179931640625,1744067
2021-09-23,3426.130287331605,3434.0980321858647,3395.1446128983735,3425.46630859375,2003869
2021-09-24,3443.8356741205457,3491.9961688146536,3412.850006101466,3427.280517578125,2320754
2021-09-27,3452.689122849258,3456.230342462437,3366.725930283788,3396.87060546875,1673362
2021-09-28,3408.4238902572306,3408.4238902572306,3321.0000307343994,3345.699951171875,2253075
2021-09-29,3328.56914927478,3369.4701892693497,3295.2372926797393,3356.9873046875,2489161
2021-09-30,3368.5848793374157,3368.5848793374157,3319.981730608833,3342.5126953125,2252412
2021-10-01,3348.0017681247846,3373.011631270028,3297.760715611773,3302.3642578125,1578374
2021-10-04,3297.582985774136,3349.683037622417,3282.222862792294,3340.520263671875,1356860
2021-10-05,3323.4342025006117,3399.5704149180474,3312.4565094913187,3393.638916015625,1877966
2021-10-06,3396.0290975092903,3415.01884159684,3359.7316019415425,3373.807861328125,1678154
2021-10-07,3390.717729179186,3451.8037665978186,3381.9089887502187,3446.4033203125,1647233
2021-10-08,3474.8220766180934,3532.2782838625317,3452.6894519262582,3484.25048828125,2934339
2021-10-11,3324.319708750894,3326.532970873897,3240.21574807677,3262.879638671875,11845402
2021-10-12,3280.939853792997,3281.8251586645006,3214.187952937166,3233.885986328125,5752877
2021-10-13,3231.362766510334,3253.8937321613757,3226.9362421726487,3235.96630859375,3545655
2021-10-14,3215.387837781838,3255.3029971474057,3200.4861349746393,3203.368896484375,6442299
2021-10-18,3196.272417838249,3239.957336100355,3194.49841100527,3235.034423828125,3590107
2021-10-19,3254.4160669882417,3273.1319287564406,3215.5652676856744,3223.50390625,3135441
2021-10-20,3203.856962964717,3219.8230275642086,3173.9649853308347,3201.06298828125,2933693
2021-10-21,3196.8493805660564,3199.820712339937,3114.4910194953113,3133.33984375,4871211
2021-10-22,3157.7326116490563,3159.1519039386526,3091.2073459542025,3103.492431640625,2691670
2021-10-25,3107.173462267711,3117.4183966686946,3060.162273714988,3098.259033203125,2595594
2021-10-26,3099.634113754694,3130.2357382859686,3082.337543367453,3089.078857421875,3878763
2021-10-27,3089.432892967239,3114.490739429003,3089.432892967239,3095.420166015625,2510813
2021-10-28,3120.478253064307,3120.478253064307,3029.116894319104,3035.015380859375,2424942
2021-10-29,3015.8568020954044,3069.919631227122,3003.349964014751,3013.816650390625,3960501
2021-11-01,3049.473616415924,3092.981181072092,3027.29852908389,3083.578857421875,2020718
2021-11-02,3099.1907258793763,3116.5760838881283,3077.6808875558004,3090.498046875,3087414
2021-11-03,3108.237587853043,3122.1634993420716,3074.398491314584,3097.637939453125,1537639
